Team,Conference,Division,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH,Year
Charlotte,East,Southeast,82,94.2,97.3,-3.1,93,100.1,103.5,-3.4,0.04,-3.36,15.9,-0.061,33,49,0.402,0.398,0.415,-0.013,2015
Chicago,East,Central,82,100.8,97.8,3,92.7,107.6,104.4,3.2,-0.09,3.11,13.1,0.047,50,32,0.61,0.599,0.596,0.014,2015
Cleveland,East,Central,82,103.1,98.7,4.4,92.3,111.2,106.3,4.9,-0.22,4.68,16.5,0.039,53,29,0.646,0.645,0.616,0.03,2015
Dallas,West,Southwest,82,105.2,102.3,2.9,95.2,109.5,106.4,3.1,0.05,3.15,16.1,-0.028,50,32,0.61,0.595,0.576,0.034,2015
Denver,West,Northwest,82,101.5,105,-3.5,96.1,104.5,108.2,-3.7,0.58,-3.12,15.3,-0.036,30,52,0.366,0.385,0.405,-0.039,2015
Detroit,East,Central,82,98.5,99.5,-1,92.8,105.4,106.4,-1,0.2,-0.8,12.4,-0.038,32,50,0.39,0.467,0.468,-0.078,2015
Golden State,West,Pacific,82,110,99.9,10.1,98.3,111.6,101.3,10.3,-1.51,8.79,12.8,0.094,67,15,0.817,0.833,0.79,0.027,2015
Houston,West,Southwest,82,103.9,100.5,3.4,96.6,106.9,103.4,3.5,0.51,4.01,13.2,0.046,56,26,0.683,0.612,0.605,0.078,2015
Indiana,East,Central,82,97.3,97,0.3,93.2,103.6,103.3,0.3,-0.31,-0.01,12.7,0.029,38,44,0.463,0.51,0.509,-0.046,2015
LA Clippers,West,Pacific,82,106.7,100.1,6.6,94.7,112.4,105.5,6.9,-0.34,6.56,15.2,0.037,56,26,0.683,0.717,0.675,0.008,2015
LA Lakers,West,Pacific,82,98.5,105.3,-6.8,94,103.5,110.7,-7.2,1.11,-6.09,10.7,-0.065,21,61,0.256,0.276,0.251,0.005,2015
Memphis,West,Southwest,82,98.3,95.1,3.2,92,105.7,102.2,3.5,0.38,3.88,11.8,-0.026,55,27,0.671,0.605,0.617,0.054,2015
Miami,East,Southeast,82,94.7,97.3,-2.6,90.9,103.9,106.8,-2.9,0.41,-2.49,13.9,-0.016,37,45,0.451,0.414,0.418,0.033,2015
Milwaukee,East,Central,82,97.9,97.4,0.5,94,102.7,102.3,0.4,-0.17,0.23,12.8,0.013,41,41,0.5,0.516,0.512,-0.012,2015
Minnesota,West,Northwest,82,97.8,106.5,-8.7,94.4,102.9,112.2,-9.3,2.1,-7.2,12,-0.116,16,66,0.195,0.214,0.219,-0.024,2015
New Orleans,West,Southwest,82,99.4,98.6,0.8,91.3,108.2,107.4,0.8,-0.41,0.39,14.5,0.021,45,37,0.549,0.526,0.522,0.027,2015
New York,East,Atlantic,82,91.9,101.2,-9.3,91.2,99.9,110,-10.1,0.67,-9.43,12.3,-0.064,17,65,0.207,0.194,0.205,0.002,2015
Oklahoma City,West,Northwest,82,104,101.8,2.2,95.7,107.8,105.5,2.3,0.21,2.51,13.2,0.024,45,37,0.549,0.572,0.569,-0.02,2015
Orlando,East,Southeast,82,95.7,101.4,-5.7,93.8,101.6,107.7,-6.1,0.08,-6.02,11.5,-0.027,25,57,0.305,0.312,0.297,0.008,2015
Philadelphia,East,Atlantic,82,92,101,-9,95.7,95.5,104.8,-9.3,1.26,-8.04,13.8,-0.055,18,64,0.22,0.204,0.25,-0.03,2015
Phoenix,West,Pacific,82,102.4,103.3,-0.9,96.3,105.3,106.2,-0.9,0.01,-0.89,12.5,-0.005,39,43,0.476,0.47,0.471,0.005,2015
Portland,West,Northwest,82,102.8,98.6,4.2,94.2,108.2,103.7,4.5,-1.03,3.47,11.5,0.064,51,31,0.622,0.638,0.653,-0.031,2015
Sacramento,West,Pacific,82,101.3,105,-3.7,95.3,105.4,109.2,-3.8,0.82,-2.98,13.3,0.015,29,53,0.354,0.378,0.388,-0.034,2015
San Antonio,West,Southwest,82,103.2,97,6.2,93.8,108.5,102,6.5,-0.07,6.43,12.3,0.055,55,27,0.671,0.704,0.701,-0.03,2015
Toronto,East,Atlantic,82,104,100.9,3.1,92.8,111.1,107.8,3.3,-0.42,2.88,13.8,-0.014,49,33,0.598,0.602,0.595,0.003,2015
Utah,West,Northwest,82,95.1,94.9,0.2,90.4,105.1,104.9,0.2,0.59,0.79,14.2,0.039,38,44,0.463,0.507,0.506,-0.043,2015
Washington,East,Southeast,82,98.5,97.8,0.7,93.7,103.7,102.9,0.8,-1.01,-0.21,15.7,0.05,46,36,0.561,0.523,0.52,0.041,2015
Atlanta,East,Southeast,82,102.6,99.1,3.5,97,105,101.4,3.6,-0.69,2.91,13.9,0.031,48,34,0.585,0.615,0.602,-0.017,2016
Boston,East,Atlantic,82,105.7,102.5,3.2,98.5,106.8,103.6,3.2,-0.61,2.59,12.3,-0.029,48,34,0.585,0.605,0.603,-0.018,2016
Brooklyn,East,Atlantic,82,98.6,106,-7.4,95.2,103.2,110.9,-7.7,0.39,-7.31,10.4,-0.062,21,61,0.256,0.256,0.229,0.027,2016
Charlotte,East,Southeast,82,103.4,100.7,2.7,95.7,107.2,104.3,2.9,-0.92,1.98,14,-0.003,48,34,0.585,0.589,0.582,0.003,2016
Chicago,East,Central,82,101.6,103.1,-1.5,95.7,105,106.5,-1.5,0.44,-1.06,12.9,0.024,42,40,0.512,0.451,0.454,0.058,2016
Cleveland,East,Central,82,104.3,98.3,6,93.3,110.9,104.5,6.4,-0.24,6.16,13.9,0.054,57,25,0.695,0.698,0.677,0.018,2016
Dallas,West,Southwest,82,102.3,102.6,-0.3,94.3,106.7,107.1,-0.4,-0.64,-1.04,13.1,-0.02,42,40,0.512,0.49,0.488,0.024,2016
Denver,West,Northwest,82,101.9,105,-3.1,95.7,105.7,108.9,-3.2,1.1,-2.1,10.8,-0.024,33,49,0.402,0.398,0.384,0.018,2016
Detroit,East,Central,82,102,101.4,0.6,95.1,106.2,105.5,0.7,0.25,0.95,12.9,-0.006,44,38,0.537,0.52,0.522,0.015,2016
Golden State,West,Pacific,82,114.9,104.1,10.8,99.3,114.5,103.8,10.7,-1.58,9.12,12.9,0.141,73,9,0.89,0.856,0.797,0.093,2016
Houston,West,Southwest,82,106.5,106.4,0.1,97.6,108.3,108.1,0.2,0.56,0.76,11.6,-0.012,41,41,0.5,0.503,0.507,-0.007,2016
Indiana,East,Central,82,102.2,100.5,1.7,96.6,104.7,102.9,1.8,0.26,2.06,12.5,0.002,45,37,0.549,0.556,0.557,-0.008,2016
LA Clippers,West,Pacific,82,104.5,100.2,4.3,95.8,108.3,103.9,4.4,0.75,5.15,13.2,0.03,53,29,0.646,0.642,0.631,0.015,2016
LA Lakers,West,Pacific,82,97.3,106.9,-9.6,95.6,101.6,111.6,-10,1.71,-8.29,13.2,-0.091,17,65,0.207,0.184,0.224,-0.017,2016
Memphis,West,Southwest,82,99.1,101.3,-2.2,93.3,105.4,107.8,-2.4,-0.47,-2.87,14.7,-0.095,42,40,0.512,0.428,0.435,0.077,2016
Miami,East,Southeast,82,100,98.4,1.6,93.6,106.1,104.4,1.7,-0.19,1.51,13.8,0.053,48,34,0.585,0.553,0.549,0.036,2016
Milwaukee,East,Central,82,99,103.2,-4.2,94.2,104.4,108.8,-4.4,0.93,-3.47,13.5,-0.024,33,49,0.402,0.362,0.372,0.03,2016
Minnesota,West,Northwest,82,102.4,106,-3.6,95.2,106.5,110.2,-3.7,0.33,-3.37,11.7,-0.039,29,53,0.354,0.381,0.376,-0.022,2016
New Orleans,West,Southwest,82,102.7,106.5,-3.8,96.8,105.6,109.5,-3.9,0.65,-3.25,11.5,-0.044,30,52,0.366,0.375,0.367,-0.001,2016
New York,East,Atlantic,82,98.2,100.9,-2.7,93.3,104.7,107.5,-2.8,0.12,-2.68,14.2,0.017,32,50,0.39,0.411,0.422,-0.032,2016
Oklahoma City,West,Northwest,82,110.2,102.9,7.3,96.6,113.2,105.7,7.5,-1.17,6.33,13.5,0.109,55,27,0.671,0.74,0.711,-0.04,2016
Orlando,East,Southeast,82,102.1,103.7,-1.6,96,105.1,106.8,-1.7,-0.56,-2.26,13.1,-0.034,35,47,0.427,0.447,0.448,-0.021,2016
Philadelphia,East,Atlantic,82,97.4,107.6,-10.2,97.9,98.9,109.3,-10.4,1.16,-9.24,12.8,-0.034,10,72,0.122,0.164,0.208,-0.086,2016
Phoenix,West,Pacific,82,100.9,107.5,-6.6,98.5,102.3,109,-6.7,1.45,-5.25,14.3,-0.029,23,59,0.28,0.283,0.32,-0.04,2016
Portland,West,Northwest,82,105.1,104.3,0.8,96,108.8,108,0.8,-0.52,0.28,14,0.03,44,38,0.537,0.526,0.523,0.014,2016
Sacramento,West,Pacific,82,106.6,109.1,-2.5,99.9,106,108.5,-2.5,1.13,-1.37,10.2,-0.018,33,49,0.402,0.418,0.403,-0.001,2016
San Antonio,West,Southwest,82,103.5,92.9,10.6,93.7,110.3,99,11.3,-2.23,9.07,14.6,0.062,67,15,0.817,0.849,0.781,0.036,2016
Toronto,East,Atlantic,82,102.7,98.2,4.5,92.9,110,105.2,4.8,-0.67,4.13,11.8,0.012,56,26,0.683,0.648,0.658,0.025,2016
Utah,West,Northwest,82,97.7,95.9,1.8,91,105.9,104,1.9,-0.1,1.8,14.9,0.029,40,42,0.488,0.559,0.551,-0.063,2016
Washington,East,Southeast,82,104.1,104.6,-0.5,98.4,105.4,105.9,-0.5,0.6,0.1,14.8,-0.029,41,41,0.5,0.484,0.487,0.013,2016
